Date, Price , Open , High , Low , Vol. ,Change %
9/20/2009," 13,893.54 "," 15,860.53 "," 15,860.53 "," 15,860.53 ", -   ,0.00%
9/21/2009," 13,893.54 "," 15,860.53 "," 15,860.53 "," 15,860.53 ", -   ,0.00%
9/22/2009," 13,893.54 "," 15,860.53 "," 15,860.53 "," 15,860.53 ", -   ,0.00%
9/23/2009," 13,893.54 "," 15,860.53 "," 15,860.53 "," 15,860.53 ", -   ,0.00%
9/24/2009," 14,266.65 "," 15,926.15 "," 15,926.15 "," 15,926.15 ", -   ,2.69%
9/25/2009," 14,209.51 "," 15,776.16 "," 15,776.16 "," 15,776.16 ", -   ,-0.40%
9/26/2009," 14,209.51 "," 15,776.16 "," 15,776.16 "," 15,776.16 ", -   ,0.00%
9/27/2009," 14,209.51 "," 15,776.16 "," 15,776.16 "," 15,776.16 ", -   ,0.00%
9/28/2009," 13,843.34 "," 15,552.88 "," 15,552.88 "," 15,552.88 ", -   ,-2.58%
9/29/2009," 13,886.82 "," 15,519.87 "," 15,519.87 "," 15,519.87 ", -   ,0.31%
9/30/2009," 13,648.34 "," 15,519.87 "," 15,519.87 "," 15,519.87 ", -   ,-1.72%
10/1/2009," 13,588.43 "," 15,013.98 "," 15,013.98 "," 15,013.98 ", -   ,-0.44%
10/2/2009," 13,881.65 "," 15,013.98 "," 15,013.98 "," 15,013.98 ", -   ,2.16%
10/3/2009," 13,881.65 "," 15,013.98 "," 15,013.98 "," 15,013.98 ", -   ,0.00%
10/4/2009," 13,881.65 "," 15,013.98 "," 15,013.98 "," 15,013.98 ", -   ,0.00%
10/5/2009," 13,976.28 "," 14,735.38 "," 14,735.38 "," 14,735.38 ", -   ,0.68%
10/6/2009," 14,157.18 "," 14,735.38 "," 14,735.38 "," 14,735.38 ", -   ,1.29%
10/7/2009," 14,337.91 "," 14,455.10 "," 14,455.10 "," 14,455.10 ", -   ,1.28%
10/8/2009," 14,063.30 "," 14,455.10 "," 14,455.10 "," 14,455.10 ", -   ,-1.92%
10/9/2009," 14,040.39 "," 14,668.61 "," 14,668.61 "," 14,668.61 ", -   ,-0.16%
10/10/2009," 14,040.39 "," 14,668.61 "," 14,668.61 "," 14,668.61 ", -   ,0.00%
10/11/2009," 14,040.39 "," 14,668.61 "," 14,668.61 "," 14,668.61 ", -   ,0.00%
10/12/2009," 13,901.72 "," 14,809.24 "," 14,809.24 "," 14,809.24 ", -   ,-0.99%
10/13/2009," 13,999.42 "," 14,574.89 "," 14,574.89 "," 14,574.89 ", -   ,0.70%
